edge,tail,head,f_star_add,additional_delay_objective,omega_add,f_tolled_add,flow_difference,norm_difference,optimum_status,tolled_status
1,1,2,6584.46526712873,15350.353856808886,1.8439960913343805,6584.310118142109,-0.1551489866214979,0.565861289021482,optimal,optimal
2,2,3,5577.902490483824,15350.353856808886,0.110524169307501,5578.0471681516265,0.14467766780217062,0.565861289021482,optimal,optimal
3,3,4,3367.453182256407,15350.353856808886,-0.07080444275993145,3367.3669577213414,-0.0862245350658668,0.565861289021482,optimal,optimal
4,4,5,3367.452802046684,15350.353856808886,-0.06645446806119822,3367.366951429064,-0.08585061762005353,0.565861289021482,optimal,optimal
5,1,6,10221.534732871267,15350.353856808886,1.3674811544299605,10221.689881422575,0.1551485513082298,0.565861289021482,optimal,optimal
6,6,7,4669.458429357769,15350.353856808886,0.40689310334151335,4669.521725468679,0.06329611090950493,0.565861289021482,optimal,optimal
7,7,8,3156.4341717390535,15350.353856808886,0.02702977972644549,3156.371260501008,-0.06291123804567178,0.565861289021482,optimal,optimal
8,8,9,2711.8277476990875,15350.353856808886,0.008670966987384031,2711.726271450056,-0.10147624903129326,0.565861289021482,optimal,optimal
9,9,13,2987.9373780890114,15350.353856808886,0.10175944359696532,2987.976249606126,0.03887151711478509,0.565861289021482,optimal,optimal
10,2,7,1006.5627766449056,15350.353856808886,-0.0936385559098367,1006.2629499904826,-0.2998266544229864,0.565861289021482,optimal,optimal
11,3,8,0.00026360682809954347,15350.353856808886,-0.10666999684021328,5.427255405109441e-06,-0.000258179572694434,0.565861289021482,optimal,optimal
12,3,9,2210.4490446205896,15350.353856808886,-0.05933927646691378,2210.6802050030296,0.23116038244006631,0.565861289021482,optimal,optimal
13,4,9,0.0003802097237455556,15350.353856808886,-0.11232999562094108,6.292277348185064e-06,-0.00037391744639737054,0.565861289021482,optimal,optimal
14,5,14,3367.452802046684,15350.353856808886,-0.034066229040324,3367.366951429064,-0.08585061762005353,0.565861289021482,optimal,optimal
15,6,10,5552.076303513498,15350.353856808886,0.36995567363124393,5552.168155953896,0.09185244039781537,0.565861289021482,optimal,optimal
16,10,11,3084.7509879980503,15350.353856808886,0.017702266540055245,3084.68322606712,-0.06776193093037364,0.565861289021482,optimal,optimal
17,10,15,4986.91234977907,15350.353856808886,-0.003660752011106508,4986.898344844931,-0.014004934138938552,0.565861289021482,optimal,optimal
18,7,10,2519.5870342636217,15350.353856808886,-0.03549229946381434,2519.413414958153,-0.1736193054684918,0.565861289021482,optimal,optimal
19,8,11,444.6066876467937,15350.353856808886,-0.031225535986550434,444.644994478207,0.03830683141330837,0.565861289021482,optimal,optimal
20,9,12,1934.3397944403894,15350.353856808886,-0.024622287271430038,1934.4302331392373,0.09043869884794731,0.565861289021482,optimal,optimal
21,11,12,3529.357525751937,15350.353856808886,0.009238339997321973,3529.3282170305433,-0.02930872139359053,0.565861289021482,optimal,optimal
22,12,13,5463.6973201923265,15350.353856808886,0.12343919902310772,5463.75845016978,0.061129977453674655,0.565861289021482,optimal,optimal
23,13,14,2202.3162056955894,15350.353856808886,-0.020804757285861744,2202.4038304324285,0.0876247368391887,0.565861289021482,optimal,optimal
24,11,15,0.00014989290681153083,15350.353856808886,-0.054166999136525645,3.5147833821472214e-06,-0.00014637812342938362,0.565861289021482,optimal,optimal
25,13,17,6249.3184925857495,15350.353856808886,0.27206492015282785,6249.330869343478,0.012376757728816301,0.565861289021482,optimal,optimal
26,14,17,5569.769007742274,15350.353856808886,0.228422052829777,5569.770781861494,0.0017741192195899202,0.565861289021482,optimal,optimal
27,15,16,4986.912499671977,15350.353856808886,0.025864563774374655,4986.898348359713,-0.01415131226349331,0.565861289021482,optimal,optimal
28,16,17,4986.912499671977,15350.353856808886,0.42352709045208203,4986.898348359714,-0.014151312262583815,0.565861289021482,optimal,optimal
