edge,tail,head,flow,capacity,free_flow_time,capacity_utilization,solver_status,objective_value,delay,edge_total_travel_time
1,1,2,6569.212998217768,8741.0,0.1621,0.7515402125864051,optimal,26142.669149958605,0.6524194586472968,4285.882388036021
2,2,3,5809.998583353086,9864.0,0.0554,0.5890103997722107,optimal,26142.669149958605,0.1347965981847102,783.1680444939815
3,3,4,3046.969543421312,13350.0,0.129,0.22823741898286984,optimal,26142.669149958605,0.16714985045010455,509.3005035088957
4,4,5,3046.9695072331615,10926.0,0.18667,0.27887328457195326,optimal,26142.669149958605,0.2588588052644761,788.7348863196656
5,1,6,10236.787001782233,13707.0,0.12983,0.7468291385264634,optimal,26142.669149958605,0.5128157294419556,5249.585393460886
6,6,7,4666.495569555158,6960.0,0.078333,0.6704735013728675,optimal,26142.669149958605,0.23771381156401558,1109.2904484855485
7,7,8,3061.2171079120485,7422.0,0.094,0.41245177956238865,optimal,26142.669149958605,0.1599868687032835,489.7545395157701
8,8,9,2595.954795670252,6678.0,0.057333,0.3887323743142037,optimal,26142.669149958605,0.09379361443471947,243.4839831950566
9,9,13,3104.549830928163,6297.0,0.14167,0.49302045909610337,optimal,26142.669149958605,0.27943928417193276,867.5331824306608
10,2,7,759.2144148646809,11102.0,0.10517,0.06838537334396333,optimal,26142.669149958605,0.1128900266170145,85.7077355020949
11,3,8,0.00010351916427899808,8899.0,0.10667,1.1632673814922809e-08,optimal,26142.669149958605,0.10667000124085733,1.1042389382093238e-05
12,3,9,2763.0289364126093,8970.0,0.10483,0.3080299817628327,optimal,26142.669149958605,0.15149500301625834,418.5850770558373
13,4,9,3.6188150964958626e-05,9753.0,0.11233,3.710463546084141e-09,optimal,26142.669149958605,0.11233000041679636,4.065015012976892e-06
14,5,14,3046.9695072331615,9719.0,0.1805,0.31350648289259814,optimal,26142.669149958605,0.2629303780763319,801.1408445238699
15,6,10,5570.291432227074,9083.0,0.1215,0.6132655986157739,optimal,26142.669149958605,0.3141691030462222,1750.0134629688364
16,10,11,2893.8391534299117,7416.0,0.080667,0.39021563557577016,optimal,26142.669149958605,0.13228774745014552,382.81946309027904
17,10,15,5040.945155304954,13353.0,0.075333,0.3775140534190784,optimal,26142.669149958605,0.12101959958096323,610.053164204602
18,7,10,2364.492876507791,11216.0,0.056667,0.21081427215654344,optimal,26142.669149958605,0.07180439027305942,169.78096930263433
19,8,11,465.2624157609605,10947.0,0.032667,0.04250136254325025,optimal,26142.669149958605,0.034117019828631946,15.87336706403389
20,9,12,2254.4339373428493,10019.0,0.035,0.22501586359345735,optimal,26142.669149958605,0.04516221475485743,101.81522962891657
21,11,12,3359.1015194944093,8732.0,0.066667,0.38468867607586,optimal,26142.669149958605,0.10834677895220922,363.94782981069085
22,12,13,5613.535456837259,10763.0,0.11283,0.5215586227666319,optimal,26142.669149958605,0.23582826521495695,1323.8303285085815
23,13,14,2371.9908811284977,6677.0,0.078333,0.3552479977727269,optimal,26142.669149958605,0.12149322488243762,288.18082154003594
24,11,15,4.96964637131713e-05,9403.0,0.054167,5.285171085097448e-09,optimal,26142.669149958605,0.054167000286281866,2.6919083641785464e-06
25,13,17,6346.094406636923,10355.0,0.095833,0.6128531537070906,optimal,26142.669149958605,0.24753656375517577,1570.890402684845
26,14,17,5418.96038836166,9067.0,0.073,0.5976574818971722,optimal,26142.669149958605,0.1814374487295503,983.2023476308327
27,15,16,5040.945205001418,11990.0,0.118,0.4204291246873576,optimal,26142.669149958605,0.20359891262021465,1026.3309623163736
28,16,17,5040.945205001418,8258.0,0.14867,0.6104317274160109,optimal,26142.669149958605,0.3816275874158809,1923.763756880344
