edge,tail,head,omega,f_star,f_tolled,flow_difference,norm_difference,solver_status
1,1,2,1.973435877698365,6569.212998217768,6569.053040315825,-0.15995790194301662,0.2993561422894971,optimal
2,2,3,0.19318395925518544,5809.998583353086,5809.976409890051,-0.02217346303496015,0.2993561422894971,optimal
3,3,4,0.049432106956812626,3046.969543421312,3046.9660421204085,-0.0035013009037356824,0.2993561422894971,optimal
4,4,5,0.10010557606595702,3046.9695072331615,3046.9660418471467,-0.003465386014795513,0.2993561422894971,optimal
5,1,6,1.5127559594056534,10236.787001782233,10236.946959584116,0.15995780188313802,0.2993561422894971,optimal
6,6,7,0.48366614590336476,4666.495569555158,4666.565456133019,0.06988657786132535,0.2993561422894971,optimal
7,7,8,0.11230885637630877,3061.2171079120485,3061.2187398324695,0.0016319204210049065,0.2993561422894971,optimal
8,8,9,0.059647547003349635,2595.954795670252,2595.9583050806655,0.0035094104132440407,0.2993561422894971,optimal
9,9,13,0.2717452541108526,3104.549830928163,3104.5483668133006,-0.0014641148623013578,0.2993561422894971,optimal
10,2,7,0.00828671684205407,759.2144148646809,759.0766304257742,-0.13778443890669223,0.2993561422894971,optimal
11,3,8,1.2408573447067935e-09,0.00010351916427899808,7.240930209581028e-07,-0.00010279507125803998,0.2993561422894971,optimal
12,3,9,0.06743789728800689,2763.0289364126093,2763.0103670455487,-0.018569367060536024,0.2993561422894971,optimal
13,4,9,4.16796373224647e-10,3.6188150964958626e-05,2.732616255024999e-07,-3.5914889339456125e-05,0.2993561422894971,optimal
14,5,14,0.12007451785365615,3046.9695072331615,3046.9660418471467,-0.003465386014795513,0.2993561422894971,optimal
15,6,10,0.4981948912654469,5570.291432227074,5570.381503451096,0.09007122402181267,0.2993561422894971,optimal
16,10,11,0.08465410145254676,2893.8391534299117,2893.8557208604807,0.016567430569011776,0.2993561422894971,optimal
17,10,15,0.0733937847623747,5040.945155304954,5040.949129316939,0.00397401198551961,0.2993561422894971,optimal
18,7,10,0.01918102385660739,2364.492876507791,2364.423346726324,-0.06952978146728128,0.2993561422894971,optimal
19,8,11,0.0015143831770699945,465.2624157609605,465.2604354758973,-0.001980285063211795,0.2993561422894971,optimal
20,9,12,0.013112803575538626,2254.4339373428493,2254.420305586176,-0.013631756673476048,0.2993561422894971,optimal
21,11,12,0.06773770826513799,3359.1015194944093,3359.116155944609,0.014636450199759565,0.2993561422894971,optimal
22,12,13,0.2570811620144685,5613.535456837259,5613.536461530784,0.0010046935258287704,0.2993561422894971,optimal
23,13,14,0.06694081559009067,2371.9908811284977,2371.9919170298344,0.0010359013367633452,0.2993561422894971,optimal
24,11,15,2.8628186519257075e-10,4.96964637131713e-05,3.9176889316557993e-07,-4.9304694820005724e-05,0.2993561422894971,optimal
25,13,17,0.39185018606712124,6346.094406636923,6346.09291131425,-0.0014953226727811852,0.2993561422894971,optimal
26,14,17,0.2695152608798771,5418.96038836166,5418.957958876981,-0.0024294846789416624,0.2993561422894971,optimal
27,15,16,0.14769360619447858,5040.945205001418,5040.949129708709,0.003924707290934748,0.2993561422894971,optimal
28,16,17,0.5979891172109153,5040.945205001418,5040.949129708709,0.003924707290934748,0.2993561422894971,optimal
