week,S_mean,I_mean,R_mean,S_std,I_std,R_std
0,490,10,0,0,0,0
1,472.85,19.71,7.44,6.7385087371,6.95455965536,1.27530388535
2,417.78,60.79,21.43,23.2407314859,19.4998948715,5.36890119112
3,311.52,124.9,63.58,39.8523474842,25.2754821912,18.2379713784
4,206.44,142.18,151.38,35.8832328532,16.1278516858,33.3286003306
5,142.15,107.46,250.39,26.0596910956,18.0883498418,34.3467305577
6,112.22,62.61,325.17,18.6507801445,15.6651811352,27.4233677728
7,99.89,30.95,369.16,15.6855953027,10.7595306589,21.3198123819
8,94.62,14.21,391.17,14.1688249336,7.15582979116,17.1854909735
9,92.52,6.57,400.91,13.598882307,3.90449740684,14.6888358967
10,91.79,2.71,405.5,13.5264888275,2.03123115376,13.9273112983
11,91.42,1.23,407.35,13.3792226979,1.27949208673,13.573043137
12,91.29,0.54,408.17,13.3695886249,0.805232885568,13.3843602761
13,91.21,0.25,408.54,13.3156261588,0.606217782649,13.421937267
14,91.21,0.09,408.7,13.3156261588,0.376696164037,13.3697419571
15,91.19,0.03,408.78,13.3008984659,0.221585198062,13.3248489672
